dataset,rows,cols,nnzs,merge-path,thread-mapped,group-mapped,minimum,elapsed,cusparse,speed-up,kernel,oracle-speed-up-kernel,oracle-speed-up
af_shell6,504855,504855,17588875,0.24707,0.974121,0.514048,0.24707,0.24707,0.27417,1.109685514,merge-path,merge-path,1.109685514
af_shell7,504855,504855,17588875,0.24585,0.977051,0.620544,0.24585,0.24585,0.275879,1.122143583,merge-path,merge-path,1.122143583
af_shell8,504855,504855,17588875,0.24585,0.979004,0.621568,0.24585,0.24585,0.27002,1.098311979,merge-path,merge-path,1.098311979
af_shell9,504855,504855,17588875,0.24707,0.984863,0.631808,0.24707,0.24707,0.268066,1.084979965,merge-path,merge-path,1.084979965
af23560,23560,23560,484256,0.0270996,0.0200195,0.044032,0.0200195,0.0270996,0.0610352,2.252254646,merge-path,thread-mapped,3.048787432
aft01,8205,8205,125567,0.0200195,0.0129395,0.026624,0.0129395,0.0200195,0.052002,2.597567372,merge-path,thread-mapped,4.018856988
air02,50,6774,61555,0.0180664,0.202148,,0.0180664,0.202148,0.0490723,0.2427543186,group-mapped,merge-path,2.716219059
air03,124,10757,91028,0.0180664,0.218994,,0.0180664,0.0180664,0.0500488,2.770269672,merge-path,merge-path,2.770269672
air04,823,8904,72965,0.0200195,0.0351562,,0.0200195,0.0200195,0.0510254,2.548784935,merge-path,merge-path,2.548784935
air05,426,7195,52121,0.0180664,0.0390625,,0.0180664,0.0180664,0.0478516,2.648651641,merge-path,merge-path,2.648651641
air06,825,8627,70806,0.019043,0.0410156,,0.019043,0.019043,0.0500488,2.628199338,merge-path,merge-path,2.628199338
aircraft,3754,7517,20267,0.019043,0.0109863,,0.0109863,0.019043,0.0480957,2.525636717,merge-path,thread-mapped,4.3777887
airfoil_2d,14214,14214,259688,0.0241699,0.0158691,0.037888,0.0158691,0.0241699,0.0551758,2.282831125,merge-path,thread-mapped,3.476933159
airfoil1,4253,4253,24578,0.019043,0.0131836,,0.0131836,0.019043,0.0559082,2.935892454,merge-path,thread-mapped,4.240738493
airfoil1_dual,8034,8034,23626,0.0200195,0.0109863,,0.0109863,0.0200195,0.0498047,2.487809386,merge-path,thread-mapped,4.533346076
ak2010,45292,45292,217098,0.0239258,0.0310059,0.035872,0.0239258,0.0239258,0.0549316,2.29591487,merge-path,merge-path,2.29591487
al2010,252266,252266,1230482,0.0529785,0.052002,0.062464,0.052002,0.0529785,0.0861816,1.626727824,merge-path,thread-mapped,1.65727472
Alemdar,6245,6245,42581,0.0200195,0.0109863,0.016384,0.0109863,0.0200195,0.0500488,2.500002498,merge-path,thread-mapped,4.555564658
amazon-2008,735323,735323,5158388,0.148926,0.195801,0.165984,0.148926,0.148926,0.149902,1.00655359,merge-path,merge-path,1.00655359
amazon0302,262111,262111,1234877,0.0539551,0.0439453,0.058368,0.0439453,0.0539551,0.0830078,1.538460683,merge-path,thread-mapped,1.888889142
