kernel,dataset,rows,cols,nnzs,elapsed
thread-mapped,as-735_G_066,7716,7716,11823,0.0378418
thread-mapped,as-735_G_067,7716,7716,11869,0.0400391
thread-mapped,as-735_G_068,7716,7716,11895,0.0388184
thread-mapped,as-735_G_069,7716,7716,11893,0.0390625
thread-mapped,as-735_G_070,7716,7716,11913,0.0410156
thread-mapped,as-735_G_071,7716,7716,11910,0.0390625
thread-mapped,as-735_G_072,7716,7716,11926,0.0400391
thread-mapped,as-735_G_073,7716,7716,11890,0.0390625
thread-mapped,as-735_G_074,7716,7716,11922,0.0390625
thread-mapped,as-735_G_075,7716,7716,12000,0.0410156
thread-mapped,as-735_G_076,7716,7716,12043,0.0390625
thread-mapped,as-735_G_077,7716,7716,12073,0.0400391
thread-mapped,as-735_G_078,7716,7716,12080,0.0390625
thread-mapped,as-735_G_079,7716,7716,12055,0.0388184
