kernel,dataset,rows,cols,nnzs,elapsed
merge-path,ch7-6-b4,15120,12600,75600,0.0200195
merge-path,ch7-6-b5,5040,15120,30240,0.019043
merge-path,ch7-7-b1,882,49,1764,0.019043
merge-path,ch7-7-b2,7350,882,22050,0.019043
merge-path,ch7-7-b5,35280,52920,211680,0.0219727
merge-path,ch7-8-b1,1176,56,2352,0.0200195
merge-path,ch7-8-b2,11760,1176,35280,0.0200195
merge-path,ch7-8-b3,58800,11760,235200,0.0219727
merge-path,ch7-8-b4,141120,58800,705600,0.0371094
merge-path,ch7-8-b5,141120,141120,846720,0.0400391
merge-path,ch7-9-b1,1512,63,3024,0.0178223
merge-path,ch7-9-b2,17640,1512,52920,0.0219727
merge-path,ch7-9-b3,105840,17640,423360,0.0268555
merge-path,ch7-9-b4,317520,105840,1587600,0.0559082
merge-path,ch7-9-b5,423360,317520,2540160,0.0749512
merge-path,ch8-8-b1,1568,64,3136,0.019043
merge-path,ch8-8-b2,18816,1568,56448,0.0200195
merge-path,ch8-8-b3,117600,18816,470400,0.0270996
merge-path,ch8-8-b4,376320,117600,1881600,0.0639648
merge-path,ch8-8-b5,564480,376320,3386880,0.0939941
merge-path,channel-500x100x100-b050,4802000,4802000,85362744,1.19116
merge-path,Chebyshev1,261,261,2319,0.019043
merge-path,Chebyshev2,2053,2053,18447,0.019043
merge-path,Chebyshev3,4101,4101,36879,0.0219727
merge-path,Chebyshev4,68121,68121,5377761,0.0979004
merge-path,chem_master1,40401,40401,201201,0.0300293
merge-path,Chem97Zt,2541,31022,62044,0.019043
merge-path,Chem97ZtZ,2541,2541,7361,0.0251465
merge-path,chesapeake,39,39,340,0.0148926
merge-path,chipcool0,20082,20082,281150,0.0241699
merge-path,chipcool0_B,20082,1,246,0.0209961
merge-path,chipcool0_C,5,20082,5,0.013916
merge-path,chipcool0_E,20082,20082,20082,0.0200195
merge-path,chipcool1,20082,20082,281150,0.0241699
merge-path,chipcool1_B,20082,1,246,0.0209961
merge-path,chipcool1_C,5,20082,5,0.0161133
merge-path,chipcool1_E,20082,20082,20082,0.019043
merge-path,circuit_1,2624,2624,35823,0.019043
merge-path,circuit_2,4510,4510,21199,0.019043
merge-path,circuit_3,12127,12127,48137,0.0200195
merge-path,circuit_4,80209,80209,307604,0.026123
merge-path,circuit204,1020,1020,5883,0.019043
merge-path,circuit5M,5558326,5558326,59524291,0.913818
merge-path,circuit5M_dc,3523317,3523317,19194193,0.37207
merge-path,cis-n4c6-b1,210,21,420,0.013916
merge-path,cis-n4c6-b13,6300,25605,88200,0.0212402
merge-path,cis-n4c6-b14,920,6300,13800,0.019043
merge-path,cis-n4c6-b15,60,920,960,0.0168457
merge-path,cis-n4c6-b2,1330,210,3990,0.0209961
merge-path,cis-n4c6-b3,5970,1330,23880,0.019043
merge-path,cis-n4c6-b4,20058,5970,100290,0.0280762
merge-path,cit-HepPh,34546,34546,421578,0.032959
merge-path,cit-HepTh,27770,27770,352807,0.0280762
merge-path,cit-Patents,3774768,3774768,16518948,0.999023
merge-path,citationCiteseer,268495,268495,2313294,0.092041
merge-path,Cities,55,46,1342,0.019043
merge-path,ck104,104,104,992,0.019043
merge-path,ck400,400,400,2860,0.0170898
merge-path,ck656,656,656,3884,0.0178223
merge-path,ckt11752_dc_1,49702,49702,333029,0.0249023
merge-path,ckt11752_tr_0,49702,49702,333029,0.0270996
merge-path,cnae9_10NN,1080,1080,18278,0.0209961
merge-path,cnr-2000,325557,325557,3216152,0.0891113
merge-path,CO,221119,221119,7666057,0.145996
merge-path,co2010,201062,201062,974574,0.0429688
merge-path,co5,5774,12325,57993,0.0180664
merge-path,co9,10789,22924,109651,0.0209961
merge-path,coater1,1348,1348,19457,0.019043
merge-path,coater2,9540,9540,207308,0.0200195
merge-path,coAuthorsCiteseer,227320,227320,1628268,0.0571289
merge-path,coAuthorsDBLP,299067,299067,1955352,0.0651855
merge-path,CollegeMsg,1899,1899,20296,0.019043
merge-path,collins_15NN,1000,1000,16492,0.0178223
merge-path,com-Amazon,334863,334863,1851744,0.0820312
merge-path,com-Amazon_Communities_all,334863,75149,2271543,0.0690918
merge-path,com-Amazon_Communities_top5000,334863,5000,67462,0.0229492
