kernel,dataset,rows,cols,nnzs,elapsed
cusparse,aug2d,29008,29008,76832,0.0571289
cusparse,helm3d01,32226,32226,428444,0.0600586
cusparse,ncvxqp5,62500,62500,424966,0.0629883
cusparse,stokes128,49666,49666,558594,0.0668945
cusparse,stokes64s,12546,12546,140034,0.0551758
cusparse,bloweybl,30003,30003,120000,0.0588379
cusparse,cont-201,80595,80595,438795,0.0651855
cusparse,heart3,2339,2339,682797,0.0629883
cusparse,stomach,213360,213360,3021648,0.108887
cusparse,fv3,9801,9801,87025,0.0488281
cusparse,torso2,115967,115967,1033473,0.0810547
cusparse,torso3,259156,259156,4429042,0.121094
cusparse,heart2,2339,2339,682797,0.059082
cusparse,fv1,9604,9604,85264,0.0539551
cusparse,lung1,1650,1650,7419,0.0529785
cusparse,heart1,3557,3557,1387773,0.0761719
cusparse,fv2,9801,9801,87025,0.0551758
cusparse,lung2,109460,109460,492564,0.0649414
cusparse,torso1,116158,116158,8516500,0.150879
cusparse,light_in_tissue_Q,14641,1,25,0.0568848
cusparse,problem1,415,415,2779,0.0490723
cusparse,sme3Da,12504,12504,874887,0.0700684
cusparse,poisson3Db,85623,85623,2374949,0.103027
cusparse,ns3Da,20414,20414,1679599,0.0849609
cusparse,poisson2D,367,367,2417,0.0529785
cusparse,poisson3Da,13514,13514,352762,0.0588379
cusparse,sme3Db,29067,29067,2081063,0.0949707
cusparse,comsol,1500,1500,97645,0.0529785
cusparse,sme3Dc,42930,42930,3148656,0.115967
cusparse,relat7,21924,1045,81355,0.0600586
cusparse,rel4,66,12,104,0.0439453
cusparse,rel3,12,5,18,0.0461426
cusparse,relat4,66,12,172,0.0439453
cusparse,relat7b,21924,1045,81355,0.0561523
cusparse,rel7,21924,1045,50636,0.0568848
cusparse,relat3,12,5,24,0.0490723
cusparse,rel8,345688,12347,821839,0.0761719
cusparse,rel5,340,35,656,0.0549316
cusparse,relat6,2340,157,8108,0.0549316
cusparse,relat8,345688,12347,1334038,0.0878906
cusparse,rel6,2340,157,5101,0.0529785
cusparse,relat5,340,35,1058,0.046875
cusparse,rajat13,7598,7598,48922,0.0568848
cusparse,rel9,9888048,274669,23667183,0.559082
cusparse,rajat19,1157,1157,5399,0.0529785
cusparse,rajat07,14842,14842,63913,0.0529785
cusparse,rajat21,411676,411676,1893370,0.0910645
cusparse,rajat26,51032,51032,249302,0.0598145
cusparse,rajat14,180,180,1503,0.0419922
cusparse,rajat10,30202,30202,130303,0.0539551
cusparse,rajat28,87190,87190,607235,0.0671387
cusparse,rajat22,39899,39899,197264,0.0610352
cusparse,rajat03,7602,7602,32653,0.0559082
cusparse,rajat09,24482,24482,105573,0.0581055
cusparse,relat9,12360060,549336,38955420,0.880859
cusparse,rajat04,1041,1041,9642,0.052002
cusparse,rajat25,87190,87190,607235,0.0649414
cusparse,rajat17,94294,94294,641159,0.0690918
cusparse,rajat27,20640,20640,99777,0.0568848
cusparse,Raj1,263743,263743,1302464,0.0808105
cusparse,rajat15,37261,37261,443573,0.0661621
cusparse,rajat06,10922,10922,46983,0.0549316
cusparse,rajat01,6833,6833,43250,0.052002
cusparse,rajat18,94294,94294,485143,0.0678711
cusparse,rajat12,1879,1879,12926,0.0539551
cusparse,rajat20,86916,86916,605045,0.0661621
cusparse,rajat31,4690002,4690002,20316253,0.438965
cusparse,rajat24,358172,358172,1948235,0.0939941
cusparse,rajat16,94294,94294,641159,0.0600586
cusparse,rajat05,301,301,1384,0.0439453
cusparse,rajat08,19362,19362,83443,0.0578613
cusparse,rajat02,1960,1960,11187,0.0498047
cusparse,rajat11,135,135,812,0.0461426
cusparse,rajat23,110355,110355,556938,0.0710449
cusparse,rajat30,643994,643994,6175377,0.157227
cusparse,rajat29,643994,643994,4866270,0.14209
cusparse,TEM152078_M,152078,152078,6459330,0.153076
cusparse,TEM27623,27623,27623,439469,0.0629883
cusparse,TEM152078,152078,152078,6459326,0.140869
cusparse,TEM27623_M,27623,27623,439469,0.0649414
cusparse,TEM181302,181302,181302,7839010,0.156006
cusparse,fpga_dcop_01,1220,1220,5892,0.052002
cusparse,TEM181302_M,181302,181302,7839012,0.156006
cusparse,oscil_dcop_20,430,430,1544,0.0461426
cusparse,oscil_dcop_57,430,430,1544,0.0458984
cusparse,adder_dcop_20,1813,1813,11246,0.0471191
cusparse,adder_dcop_57,1813,1813,11246,0.0561523
cusparse,oscil_dcop_18,430,430,1544,0.0488281
cusparse,fpga_dcop_33,1220,1220,5892,0.052002
cusparse,fpga_dcop_44,1220,1220,5892,0.0529785
cusparse,oscil_dcop_12,430,430,1544,0.046875
cusparse,fpga_dcop_39,1220,1220,5892,0.0529785
cusparse,adder_dcop_18,1813,1813,11246,0.0488281
cusparse,adder_dcop_65,1813,1813,11246,0.0559082
cusparse,adder_dcop_12,1813,1813,11246,0.0539551
cusparse,fpga_dcop_18,1220,1220,5892,0.0529785
cusparse,oscil_dcop_33,430,430,1544,0.0498047
cusparse,oscil_dcop_44,430,430,1544,0.0471191
cusparse,fpga_dcop_12,1220,1220,5892,0.0559082
cusparse,oscil_dcop_39,430,430,1544,0.045166
cusparse,adder_trans_01,1814,1814,14579,0.0539551
cusparse,adder_dcop_33,1813,1813,11246,0.0532227
cusparse,adder_dcop_44,1813,1813,11245,0.052002
cusparse,adder_dcop_39,1813,1813,11246,0.052002
cusparse,oscil_dcop_01,430,430,1544,0.0471191
cusparse,fpga_dcop_20,1220,1220,5892,0.0561523
cusparse,adder_dcop_01,1813,1813,11156,0.0549316
cusparse,adder_dcop_06,1813,1813,11224,0.052002
cusparse,oscil_dcop_06,430,430,1544,0.0478516
cusparse,fpga_dcop_50,1220,1220,5892,0.0549316
cusparse,fpga_dcop_27,1220,1220,5892,0.0620117
cusparse,adder_dcop_43,1813,1813,11246,0.0539551
cusparse,adder_dcop_34,1813,1813,11246,0.052002
cusparse,ASIC_100ks,99190,99190,578890,0.0639648
cusparse,adder_dcop_49,1813,1813,11246,0.0549316
cusparse,oscil_dcop_43,430,430,1544,0.0478516
cusparse,oscil_dcop_34,430,430,1544,0.0471191
cusparse,fpga_dcop_15,1220,1220,5892,0.0507812
cusparse,oscil_dcop_49,430,430,1544,0.0449219
cusparse,adder_dcop_68,1813,1813,11246,0.0529785
cusparse,fpga_trans_01,1220,1220,7382,0.0529785
cusparse,adder_dcop_15,1813,1813,11246,0.0571289
cusparse,adder_dcop_62,1813,1813,11246,0.0539551
cusparse,fpga_dcop_43,1220,1220,5892,0.0510254
cusparse,fpga_dcop_34,1220,1220,5892,0.0539551
cusparse,oscil_dcop_15,430,430,1544,0.0461426
cusparse,fpga_dcop_49,1220,1220,5892,0.0549316
cusparse,adder_dcop_50,1813,1813,11246,0.0541992
cusparse,adder_dcop_27,1813,1813,11246,0.0539551
cusparse,fpga_dcop_06,1220,1220,5860,0.052002
cusparse,oscil_dcop_50,430,430,1544,0.0449219
cusparse,oscil_dcop_27,430,430,1544,0.0461426
cusparse,adder_dcop_54,1813,1813,11246,0.052002
cusparse,adder_dcop_23,1813,1813,11246,0.0529785
cusparse,adder_dcop_29,1813,1813,11246,0.0581055
cusparse,oscil_dcop_54,430,430,1544,0.0480957
cusparse,oscil_dcop_23,430,430,1544,0.0488281
cusparse,fpga_dcop_08,1220,1220,5888,0.0549316
cusparse,oscil_dcop_29,430,430,1544,0.0488281
cusparse,fpga_dcop_02,1220,1220,5892,0.0539551
cusparse,adder_dcop_11,1813,1813,11243,0.0549316
cusparse,adder_dcop_66,1813,1813,11246,0.0541992
cusparse,oscil_dcop_11,430,430,1544,0.0439453
cusparse,fpga_dcop_47,1220,1220,5892,0.052002
cusparse,fpga_dcop_30,1220,1220,5892,0.0539551
cusparse,adder_dcop_47,1813,1813,11246,0.0539551
cusparse,adder_dcop_30,1813,1813,11246,0.052002
cusparse,adder_trans_02,1814,1814,14579,0.0500488
cusparse,fpga_dcop_11,1220,1220,5892,0.0561523
cusparse,oscil_dcop_47,430,430,1544,0.0439453
cusparse,oscil_dcop_30,430,430,1544,0.0480957
cusparse,adder_dcop_08,1813,1813,11242,0.0559082
cusparse,adder_dcop_02,1813,1813,11246,0.0539551
cusparse,fpga_dcop_23,1220,1220,5892,0.0529785
cusparse,oscil_dcop_08,430,430,1544,0.0439453
cusparse,fpga_dcop_29,1220,1220,5892,0.0549316
cusparse,oscil_dcop_02,430,430,1544,0.0449219
cusparse,fpga_dcop_24,1220,1220,5892,0.052002
cusparse,oscil_dcop_05,430,430,1544,0.0449219
cusparse,adder_dcop_05,1813,1813,11097,0.052002
cusparse,fpga_dcop_16,1220,1220,5892,0.0549316
cusparse,oscil_dcop_37,430,430,1544,0.0490723
cusparse,oscil_dcop_40,430,430,1544,0.0439453
cusparse,adder_dcop_37,1813,1813,11246,0.0578613
cusparse,adder_dcop_40,1813,1813,11246,0.0529785
cusparse,oscil_dcop_16,430,430,1544,0.0471191
cusparse,mult_dcop_03,25187,25187,193216,0.0610352
cusparse,fpga_dcop_37,1220,1220,5892,0.0529785
cusparse,fpga_dcop_40,1220,1220,5892,0.0559082
cusparse,oscil_trans_01,430,430,1614,0.0471191
cusparse,adder_dcop_61,1813,1813,11246,0.052002
cusparse,adder_dcop_16,1813,1813,11246,0.0541992
cusparse,fpga_trans_02,1220,1220,7382,0.0559082
cusparse,oscil_dcop_24,430,430,1544,0.0449219
cusparse,oscil_dcop_53,430,430,1544,0.0439453
cusparse,fpga_dcop_05,1220,1220,5852,0.052002
cusparse,adder_dcop_24,1813,1813,11246,0.0561523
cusparse,adder_dcop_53,1813,1813,11246,0.0500488
cusparse,adder_dcop_59,1813,1813,11246,0.0529785
cusparse,adder_dcop_63,1813,1813,11246,0.0571289
cusparse,adder_dcop_14,1813,1813,11246,0.0490723
cusparse,adder_dcop_69,1813,1813,11246,0.052002
cusparse,oscil_dcop_14,430,430,1544,0.0410156
cusparse,fpga_dcop_48,1220,1220,5892,0.0529785
cusparse,mult_dcop_01,25187,25187,193276,0.0568848
